First Name,Last Name,Jersey,Position,Games Played,Points,Total Goals,1pt Goals,2pt Goals,Scoring Points,Assists,Shots,Shot Pct,Shots On Goal,SOG Pct,2pt Shots,2pt Shot Pct,2pt Shots On Goal,Groundballs,Turnovers,Caused Turnovers,Faceoffs,Faceoff Wins,Faceoff Losses,Faceoff Pct,Saves,Save Pct,Scores Against,Scores Against Average,2pt Goals Against,2pt GAA,Time On Field,Total Penalties,Penalty Minutes,Power Play Goals,Power Play Shots,Short Handed Goals,Short Handed Shots,Short Handed Goals Against,Power Play Goals Against
Zed,Williams,,,9,30,18,18,0,18,12,62,0.2903225806451610,30,0.4838709677419360,0,0,0,23,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0
Zack,Greer,,,3,4,3,3,0,3,1,18,0.16666666666666700,8,0.4444444444444440,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Zachary,Price,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Zach,Melillo,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,24,6,18,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Zach,Currier,,,7,22,12,12,0,12,10,27,0.4444444444444440,18,0.6666666666666670,0,0,0,30,11,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,,0
Zach,Bryant,,,9,2,2,2,0,2,0,7,0.2857142857142860,3,0.42857142857142900,0,0,0,11,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Will,Sands,,,5,17,7,7,0,7,10,16,0.4375,12,0.75,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
Will,McBride,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Will,Manny,,,14,62,41,41,0,41,21,107,0.38317757009345800,79,0.7383177570093460,0,0,0,19,32,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,,0
Will,Koshansky,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Will,Haus,,,12,8,5,5,0,5,3,21,0.23809523809523800,14,0.6666666666666670,0,0,0,25,5,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,,0
Wilkins,Dismuke,,,1,2,1,1,0,1,1,3,0.3333333333333330,3,1,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
Wes,Berg,,,7,12,5,5,0,5,7,25,0.2,13,0.52,0,0,0,8,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0
Tyler,Young,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Tyler,Warner,,,5,0,0,0,0,0,0,3,0,1,0.3333333333333330,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0
Tyler,Pfister,,,14,4,4,4,0,4,0,15,0.26666666666666700,8,0.5333333333333330,0,0,0,20,5,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,,0
Tyler,Fiorito,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,1,0,0,0,0,87,0.4806629834,98,12.061538461538500,4,0.4923076923,23400,0,0,0,0,0,0,,0
Ty,Thompson,,,13,39,36,36,0,36,3,69,0.5217391304347830,54,0.782608695652174,0,0,0,15,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,0
Tucker,James,,,2,0,0,0,0,0,0,4,0,2,0.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Tucker,Durkin,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0
Troy,Reh,,,9,4,1,1,0,1,3,5,0.2,3,0.6,0,0,0,27,0,1,5,2,3,0.4,0,0,0,0,0,0,0,0,1,0,0,0,0,,0
Trevor,Baptiste,,,7,3,3,3,0,3,0,15,0.2,7,0.4666666666666670,0,0,0,63,6,2,222,123,99,0.5540540540540540,0,0,0,0,0,0,0,0,1,0,0,0,0,,0
Tommy,Palasek,,,13,26,16,16,0,16,10,52,0.3076923076923080,39,0.75,0,0,0,11,20,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,0
Tommy,Hughes,,,3,1,0,0,0,0,1,4,0,4,1,0,0,0,14,2,0,69,32,37,0.463768115942029,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Tom,Schreiber,,,4,17,5,5,0,5,12,25,0.2,12,0.48,0,0,0,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Tom,Moore,,,5,8,6,6,0,6,2,31,0.1935483870967740,21,0.6774193548387100,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
Tom,Kennedy,,,6,1,0,0,0,0,1,1,0,1,1,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Timothy,Schwalje,,,3,4,0,0,0,0,4,10,0,5,0.5,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
