First Name,Last Name,Position,Jersey,Team,Games Played,Points,Total Goals,1pt Goals,2pt Goals,Scoring Points,Assists,Shots,Shot Pct,Shots On Goal,SOG Pct,2pt Shots,2pt Shot Pct,2pt Shots On Goal,Groundballs,Turnovers,Caused Turnovers,Faceoffs,Faceoff Wins,Faceoff Losses,Faceoff Pct,Saves,Save Pct,Scores Against,Scores Against Average,2pt Goals Against,2pt GAA,Time On Field,Total Penalties,Penalty Minutes,Power Play Goals,Power Play Shots,Short Handed Goals,Short Handed Shots,Short Handed Goals Against,Power Play Goals Against
Elijah,Gash,D,81,Whipsnakes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Michael,Rexrode,D,22,Atlas,10,2,2,2,0,2,0,4,0.5,3,0.75,2,0,1,22,3,9,0,0,0,0,0,0,0,0,0,0,0,4,3.5,0,0,0,0,,0
Bryan,Costabile,M,26,Atlas,10,21,15,14,1,16,5,57,0.2631578947368421,34,0.5964912280701754,15,0.06666666666666667,9,20,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,,0
Ben,Randall,D,44,Waterdogs,10,2,1,0,1,2,0,6,0.16666666666666666,4,0.6666666666666666,6,0.16666666666666666,4,27,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0
Christian,Scarpello,SSDM,50,Waterdogs,9,2,1,1,0,1,1,2,0.5,2,1,0,0,0,17,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0
Ethan,Walker,A,57,Waterdogs,10,30,16,16,0,16,14,57,0.2807017543859649,41,0.7192982456140351,0,0,0,20,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
John,Geppert,LSM,19,Atlas,3,0,0,0,0,0,0,1,0,1,1,1,0,1,7,2,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Jeff,Conner,M,4,Waterdogs,5,4,2,2,0,2,2,4,0.5,3,0.75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Jack,Traynor,A,5,Waterdogs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Grayson,Sallade,SSDM,32,Whipsnakes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Marcus,Holman,A,1,Cannons,10,44,30,29,1,31,13,79,0.379746835443038,52,0.6582278481012658,5,0.2,2,24,19,4,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,3,0,0,,0
Adam,Ghitelman,G,8,Cannons,3,0,0,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,22,0.458333333333333,27,15.081458494957332,1,0.55857253685027,5156,1,1,0,0,0,0,,2
Ryan,Ambler,M,13,Archers,10,11,7,7,0,7,4,24,0.2916666666666667,15,0.625,2,0,0,7,11,1,0,0,0,0,0,0,0,0,0,0,0,2,2.5,1,4,0,0,,0
Grant,Ament,M,16,Archers,8,13,4,4,0,4,9,26,0.15384615384615385,12,0.46153846153846156,2,0,2,9,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
Latrell,Harris,SSDM,22,Archers,10,4,2,2,0,2,2,4,0.5,2,0.5,0,0,0,19,2,6,0,0,0,0,0,0,0,0,0,0,0,3,2.5,0,0,0,0,,0
Stephen,Kelly,FO,24,Cannons,4,1,0,0,0,0,1,3,0,2,0.6666666666666666,1,0,1,23,4,1,87,35,52,0.40229885057471265,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Tom,Schreiber,M,26,Archers,10,37,18,16,2,20,17,64,0.28125,36,0.5625,15,0.13333333333333333,6,20,14,2,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,0,1,,0
Warren,Jeffrey,D,27,Archers,9,1,0,0,0,0,1,0,0,0,0,0,0,0,9,3,7,0,0,0,0,0,0,0,0,0,0,0,3,2.5,0,0,0,0,,0
Jared,Conners,LSM,28,Archers,9,5,2,0,2,4,1,9,0.2222222222222222,4,0.4444444444444444,7,0.2857142857142857,4,18,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Jeff,Trainor,SSDM,43,Cannons,10,4,2,2,0,2,2,10,0.2,3,0.3,2,0,0,9,3,5,0,0,0,0,0,0,0,0,0,0,0,3,2.5,0,0,0,0,,0
Tre,Leclaire,M,44,Archers,10,19,14,13,1,15,4,39,0.358974358974359,26,0.6666666666666666,5,0.2,4,16,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,,0
Matt,McMahon,D,77,Archers,10,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,5,0,0,0,0,0,0,0,0,0,0,0,2,1.5,0,0,0,0,,0
Challen,Rogers,M,23,Archers,8,4,3,3,0,3,1,14,0.21428571428571427,9,0.6428571428571429,1,0,1,5,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
Eric,Law,A,15,Atlas,10,27,22,22,0,22,5,43,0.5116279069767442,35,0.813953488372093,0,0,0,14,15,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,,0
Jake,Carraway,M,19,Waterdogs,8,15,11,9,2,13,2,32,0.34375,23,0.71875,7,0.2857142857142857,5,6,3,1,0,0,0,0,0,0,0,0,0,0,0,2,1,3,8,0,0,,0
