First Name,Last Name,Jersey,Position,Games Played,Points,Total Goals,1pt Goals,2pt Goals,Scoring Points,Assists,Shots,Shot Pct,Shots On Goal,SOG Pct,2pt Shots,2pt Shot Pct,2pt Shots On Goal,Groundballs,Turnovers,Caused Turnovers,Faceoffs,Faceoff Wins,Faceoff Losses,Faceoff Pct,Saves,Save Pct,Scores Against,Scores Against Average,2pt Goals Against,2pt GAA,Time On Field,Total Penalties,Penalty Minutes,Power Play Goals,Power Play Shots,Short Handed Goals,Short Handed Shots,Short Handed Goals Against,Power Play Goals Against
Joseph,Nardella,91,FO,9,7,2,2,0,2,5,10,0.2,7,0.7,0,0,0,66,8,3,221,127,94,0.5746606334841630,0,0,0,0,0,0,0,2,2,0,0,0,0,,0
Ryan,Ambler,13,M,9,15,13,13,0,13,2,37,0.35135135135135100,21,0.5675675675675680,3,0,2,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,0
Conor,Gaffney,38,FO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,23,9,14,0.391304347826087,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Jeff,Trainor,43,M,3,0,0,0,0,0,0,2,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,,0
Blaze,Riorden,0,G,9,1,0,0,0,0,1,1,0,0,0,0,0,0,23,2,7,0,0,0,0,149,0.610655737704918,103,11.478987694450900,8,0,25842,0,0,0,0,0,0,,9
Chris,Cloutier,2,A,9,19,12,12,0,12,7,33,0.36363636363636400,23,0.696969696969697,2,0,1,21,10,1,0,0,0,0,0,0,0,0,0,0,0,2,5.5,0,2,0,0,,0
Mac,O'Keefe,3,A,9,13,9,7,2,11,2,29,0.3103448275862070,18,0.6206896551724140,11,0.18181818181818200,7,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,0
Eric,Scott,5,M,2,0,0,0,0,0,0,2,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Max,Adler,9,FO,7,3,1,1,0,1,2,4,0.25,3,0.75,0,0,0,38,9,4,167,81,86,0.48502994011976000,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Jarrod,Neumann,88,D,9,2,0,0,0,0,2,5,0,3,0.6,4,0,2,17,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
