First Name,Last Name,Jersey,Position,Games Played,Points,Total Goals,1pt Goals,2pt Goals,Scoring Points,Assists,Shots,Shot Pct,Shots On Goal,SOG Pct,2pt Shots,2pt Shot Pct,2pt Shots On Goal,Groundballs,Turnovers,Caused Turnovers,Faceoffs,Faceoff Wins,Faceoff Losses,Faceoff Pct,Saves,Save Pct,Scores Against,Scores Against Average,2pt Goals Against,2pt GAA,Time On Field,Total Penalties,Penalty Minutes,Power Play Goals,Power Play Shots,Short Handed Goals,Short Handed Shots,Short Handed Goals Against,Power Play Goals Against
Zed,Williams,,,15,44,32,31,1,33,11,109,0.29357798165137600,63,0.5779816513761470,0,0,0,36,33,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,,0
Zack,Greer,,,9,15,12,12,0,12,3,24,0.5,16,0.6666666666666670,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Zach,Runberg,,,7,4,2,2,0,2,2,8,0.25,4,0.5,0,0,0,12,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Zach,Melillo,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,29,19,10,0.6551724137931030,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Zach,Goodrich,,,16,8,6,6,0,6,2,17,0.35294117647058800,10,0.5882352941176470,0,0,0,30,7,15,2,1,1,0.5,0,0,0,0,0,0,0,5,3,0,0,0,0,,0
Zach,Currier,,,13,36,18,17,1,19,17,72,0.25,35,0.4861111111111110,0,0,0,47,25,5,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,,0
Zac,Prattson,,,6,0,0,0,0,0,0,1,0,1,1,0,0,0,13,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,,0
Will,Snider,,,8,7,5,4,1,6,1,21,0.23809523809523800,11,0.5238095238095240,0,0,0,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Will,Sands,,,16,47,15,15,0,15,32,52,0.28846153846153800,30,0.5769230769230770,0,0,0,29,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Will,Nowesnick,,,14,0,0,0,0,0,0,1,0,0,0,0,0,0,33,0,15,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0
Warren,Jeffrey,,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,11,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,,0
Tyler,Barbarich,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,9,0.3076923076923080,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Tommy,Palasek,,,16,63,28,28,0,28,35,61,0.45901639344262300,51,0.8360655737704920,0,0,0,27,41,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
