First Name,Last Name,Jersey,Position,Games Played,Points,Total Goals,1pt Goals,2pt Goals,Scoring Points,Assists,Shots,Shot Pct,Shots On Goal,SOG Pct,2pt Shots,2pt Shot Pct,2pt Shots On Goal,Groundballs,Turnovers,Caused Turnovers,Faceoffs,Faceoff Wins,Faceoff Losses,Faceoff Pct,Saves,Save Pct,Scores Against,Scores Against Average,2pt Goals Against,2pt GAA,Time On Field,Total Penalties,Penalty Minutes,Power Play Goals,Power Play Shots,Short Handed Goals,Short Handed Shots,Short Handed Goals Against,Power Play Goals Against
Jake,Richard,27,M,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0
Eric,Law,15,A,5,7,5,5,0,5,2,12,0.4166666666666670,9,0.75,0,0,0,9,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Connor,Buczek,33,M,5,7,3,2,1,4,3,27,0.1111111111111110,15,0.5555555555555560,11,0.09090909090909090,4,3,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
Chris,Cloutier,45,A,5,7,7,7,0,7,0,17,0.4117647058823530,8,0.47058823529411800,1,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Callum,Robinson,10,D,5,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,3,1,2,0.3333333333333330,0,0,0,0,0,0,0,1,1,0,0,0,0,,0
Austin,Pifani,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,4,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,,0
Will,Manny,4,A,6,14,10,10,0,10,4,39,0.2564102564102560,28,0.717948717948718,3,0,1,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
Tyler,Pfister,5,M,6,0,0,0,0,0,0,1,0,0,0,1,0,0,3,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0
Tom,Schreiber,26,M,6,16,12,12,0,12,4,29,0.41379310344827600,21,0.7241379310344830,3,0,2,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Scott,Ratliff,2,LSM,6,6,3,3,0,3,3,8,0.375,5,0.625,3,0,2,17,2,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0
Stephen,Kelly,24,FO,6,0,0,0,0,0,0,1,0,0,0,0,0,0,23,3,0,81,40,41,0.49382716049382700,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Ryan,Ambler,13,M,6,9,4,4,0,4,5,19,0.21052631578947400,12,0.631578947368421,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Brett,Craig,,,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Chase,Caruso,,,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Hayden,La Vangie,,,5,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Matt,Farrell,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Will,Renz,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Anthony,Joaquim,,,5,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Mark,Evanchick,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Will,Weitzel,,,4,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
James,Wittmeyer,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Andrew,Bracy,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,26,11,0,0.4230769230769230,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Mike,Mayer,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Thomas,O'Connell,,,4,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Garrett,Michaeli,,,5,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Nick,Washuta,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,20,0.4761904762,22,6.948130277442700,0,0,9119,0,0,0,0,0,0,,0
Andrew,Helmer,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Gunnar,Schimoler,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Michael,Brown,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Jon,Paige,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Justin,Schwenk,,,5,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,69,33,0,0.4782608695652170,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Tommy,Wright,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Holden,Garlent,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Trevor,Smyth,,,5,0,0,0,0,0,0,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Brendan,Collins,,,5,1,1,1,0,1,0,8,0.125,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Alex,Woodall,,,5,1,0,0,0,0,1,0,0,0,0,0,0,0,35,0,1,134,79,0,0.5895522388059700,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Nick,Chaykowsky,,,5,1,1,1,0,1,0,3,0.3333333333333330,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pat,Aslanian,,,5,2,1,1,0,1,1,4,0.25,0,0,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Matt,McMahon,77,D,6,0,0,0,0,0,0,1,0,0,0,1,0,0,10,1,12,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,,0
Mark,McNeill,21,M,6,0,0,0,0,0,0,1,0,0,0,0,0,0,13,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Marcus,Holman,1,A,6,7,6,6,0,6,1,26,0.23076923076923100,17,0.6538461538461540,3,0,1,14,3,3,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,,0
Joseph,McCallion,3,M,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,11,4,7,0.36363636363636400,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
